,Unnamed: 0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,depend
671,672,1.0,38.0,3.0,1.0,2.0,0.0,0.0,7.5,64.6,13.0,6.9,0.0,46.0,13.0,0.0,4.0,1.7,20.0,1027.2,11.1,3.2,176.0,2.8,0.25,0.0,0.19,0.1,0.01,0.0,0.5,0.0,0.425,0.0,97.0,3.0,18.5,1.0,1.0,0.47,0.7,0
672,673,1.0,49.0,3.0,1.0,2.0,0.0,0.0,2.0,32.7,15.0,16.3,0.0,13.0,19.4,0.0,1.0,1.1,3.0,242.0,11.7,12.1,17.0,4.0,0.0,0.0,0.1,0.66,0.13,0.0,1.0,0.83,0.165,0.0,13.0,1.5,19.4,0.0,0.0,1.0,1.0,0
673,674,1.0,29.0,6.0,1.0,2.0,0.0,1.0,6.0,27.2,21.5,4.5,0.0,2.0,0.1,1.0,3.0,1.2,10.0,581.9,21.5,3.2,148.0,6.1,0.0,0.33,0.03,0.6,0.04,0.0,0.33,0.16,0.2,0.0,101.0,6.0,18.4,1.0,0.0,0.01,0.0,0
674,675,0.0,54.0,4.0,1.0,2.0,0.0,0.0,2.0,12.8,13.5,6.4,0.0,19.0,3.85,0.0,2.0,1.8,13.0,351.8,9.7,6.7,28.0,1.4,0.69,0.0,0.05,0.275,0.03,0.0,1.0,0.5,0.07,0.0,22.0,2.0,9.9,0.0,0.5,0.86,0.89,0
675,676,1.0,38.0,3.0,1.0,2.0,0.0,0.0,2.0,38.0,34.0,12.6,0.0,5.0,2.7,0.0,4.0,1.7,21.0,1173.2,11.2,3.3,184.0,2.65,0.23,0.0,0.02,0.195,0.035,0.0,0.33,0.33,0.85,0.0,5.0,1.0,2.7,1.0,1.0,1.0,1.0,0
676,677,1.0,55.0,2.5,1.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,16.0,3.1,0.0,4.0,2.2,12.0,931.5,9.0,8.4,48.0,1.7,0.58,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.23,0.0,16.0,1.0,29.5,0.0,2.0,1.0,1.0,0
677,678,1.0,42.0,3.0,1.0,1.0,0.0,0.0,4.5,39.1,7.4,3.9,0.0,14.0,4.6,1.0,5.0,2.0,14.0,210.15,11.3,5.9,45.0,2.5,0.35,0.0,0.06,0.71,0.06,0.0,0.0,0.2,0.07,1.0,58.0,4.0,21.5,0.0,2.0,0.24,0.21,0
678,679,1.0,38.0,3.0,1.0,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.75,0.0,0.0,1.4,30.5,481.3,14.5,7.8,281.0,1.3,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,1.0,7.5,1.0,0.5,1.0,1.0,0
679,680,1.0,51.0,6.0,1.0,4.0,0.0,0.0,3.0,24.8,8.3,8.2,0.0,31.0,11.5,0.0,6.0,1.7,36.0,886.4,9.9,2.6,196.0,3.0,0.3,0.0,0.0,0.08,0.02,0.0,1.0,0.33,0.13,0.0,31.0,1.0,11.5,1.0,0.0,1.0,1.0,0
680,681,0.0,49.0,4.0,1.0,2.0,0.0,0.0,3.0,66.5,4.3,3.4,0.0,7.0,2.8,0.0,1.0,1.6,8.0,158.0,9.4,4.0,23.0,1.8,0.62,0.0,0.03,0.94,0.06,0.0,0.0,1.0,0.0,0.0,14.0,2.5,9.1,0.0,0.0,0.5,0.3,0
