,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,depend
10,0.0,43.0,3.0,1.0,4.0,1.0,1.0,7.0,74.4,16.8,10.6,0.0,9.0,,0.0,0.0,,2.0,117.9,,6.5,11.0,3.0,0.0,1.0,0.3,1.0,0.63,0.0,0.14,0.14,,0.0,67.0,3.0,15.7,,,0.13,0.06,0
11,1.0,38.0,5.0,2.0,2.0,0.0,1.0,6.0,37.9,17.8,,1.0,167.0,,1.0,33.0,2.6,,4543.2,,3.4,503.0,3.3,0.26,0.03,,0.05,0.0,0.0,,0.33,,1.0,206.0,,54.3,,,0.81,0.78,0
12,0.0,24.0,,1.0,3.0,0.0,0.0,2.0,,3.5,3.1,0.0,5.0,2.7,0.0,0.0,1.7,13.0,932.6,10.5,6.7,77.0,,,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.38,0.0,18.0,3.0,8.0,1.0,0.0,0.27,0.33,0
13,0.0,38.0,2.0,1.0,4.0,1.0,0.0,5.0,14.8,14.8,2.9,0.0,59.0,13.1,0.0,,1.5,26.0,904.5,11.4,3.1,182.0,2.6,0.46,0.0,0.02,0.19,0.01,,0.2,0.2,0.15,1.0,,10.0,29.7,0.0,,0.52,0.44,0
14,1.0,61.0,4.0,,2.0,0.0,2.0,4.0,150.8,53.0,37.7,0.0,4.0,2.4,1.0,10.0,1.7,26.0,1362.6,12.0,8.7,88.0,1.6,,0.2,0.11,0.15,0.11,,0.75,0.25,0.42,0.0,,1.0,2.4,1.0,,1.0,1.0,0
15,1.0,44.0,3.0,1.0,1.0,0.0,1.0,,25.4,9.0,2.5,0.0,34.0,6.5,0.0,0.0,2.1,5.0,200.3,,4.3,21.0,2.0,0.6,1.0,0.1,1.0,0.12,0.0,0.0,0.0,,0.0,,3.0,11.3,1.0,0.0,0.7,0.57,0
16,0.0,36.0,2.0,2.0,1.0,0.0,,12.0,70.4,8.0,5.8,0.0,8.0,4.1,0.0,18.0,2.0,60.0,2205.2,9.3,4.8,219.0,3.1,0.31,0.0,0.02,0.2,0.03,,,0.33,0.23,0.0,69.0,,34.1,1.0,,0.11,0.12,0
17,0.0,40.0,4.0,2.0,4.0,1.0,5.0,9.0,,17.8,13.0,1.0,60.0,,1.0,0.0,,1.0,75.3,17.0,8.3,9.0,5.0,0.0,1.0,1.0,1.0,,0.0,0.66,0.55,,1.0,76.0,2.0,65.3,0.0,0.0,0.78,0.9,0
18,1.0,,4.0,1.0,2.0,0.0,1.0,,50.1,18.1,8.3,1.0,37.0,12.2,1.0,0.0,1.2,11.0,239.1,6.4,1.7,105.0,1.5,0.54,1.0,0.12,0.54,0.2,0.0,0.83,0.0,,,37.0,1.0,12.2,0.0,2.0,1.0,1.0,0
19,0.0,36.0,4.0,1.0,4.0,1.0,0.0,2.0,,2.5,2.6,0.0,6.0,4.2,0.0,3.0,2.2,7.0,258.6,8.7,6.4,18.0,2.1,0.28,0.0,0.01,0.28,0.02,0.0,0.5,1.0,0.28,0.0,6.0,1.0,4.2,0.0,,1.0,,0
20,0.0,46.0,5.0,,6.0,1.0,0.0,0.0,0.0,,0.0,,11.0,5.5,0.0,18.0,2.4,,1830.9,,5.4,139.0,3.3,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,27.0,3.0,26.5,0.0,,0.4,0.2,0
21,0.0,59.0,3.0,2.0,3.0,0.0,1.0,4.0,36.0,20.5,9.0,1.0,65.0,21.4,1.0,0.0,1.0,1.0,21.8,9.4,3.1,7.0,3.0,0.0,1.0,1.0,,,0.0,0.75,0.25,1.0,1.0,66.0,2.0,21.7,1.0,2.0,0.98,0.98,0
22,1.0,65.0,3.0,2.0,2.0,0.0,0.0,2.0,11.0,6.5,5.5,0.0,17.0,11.5,0.0,1.0,2.4,21.0,848.2,7.3,11.3,31.0,1.3,0.76,0.0,0.02,0.09,0.01,0.0,0.5,1.0,,0.0,17.0,1.0,11.5,0.0,,1.0,1.0,0
23,1.0,,4.0,,3.0,1.0,1.0,17.0,,33.1,8.1,0.0,18.0,4.7,1.0,6.0,1.7,92.0,2869.1,15.8,3.1,514.0,2.1,0.45,0.16,0.03,0.18,0.04,0.11,0.47,0.23,,0.0,18.0,1.0,4.7,1.0,2.0,1.0,1.0,0
24,0.0,,3.0,1.0,,0.0,0.0,8.0,,10.3,2.9,0.0,9.0,2.2,0.0,4.0,1.9,25.0,292.3,9.9,3.0,49.0,1.8,0.56,0.0,0.08,0.32,0.07,0.5,0.25,0.0,,0.0,9.0,1.0,2.2,0.0,,1.0,1.0,0
25,0.0,28.0,3.0,1.0,2.0,0.0,1.0,,56.4,14.7,3.7,0.0,,0.4,0.0,4.0,1.7,19.0,255.6,9.5,3.0,48.0,1.9,0.52,0.25,0.27,0.78,,0.4,0.26,0.13,0.15,0.0,2.0,1.0,0.4,1.0,,1.0,,0
26,0.0,28.0,3.0,1.0,2.0,0.0,2.0,23.0,95.7,14.7,4.1,0.0,34.0,5.8,1.0,,1.1,4.0,29.6,5.2,1.6,,1.5,0.5,1.0,1.0,1.0,1.0,0.34,0.3,0.13,0.25,,34.0,1.0,5.8,,,1.0,1.0,1
27,0.0,,4.0,1.0,2.0,0.0,0.0,5.0,47.1,7.0,9.4,,10.0,7.2,1.0,1.0,1.7,7.0,129.3,9.4,4.0,,1.7,0.71,0.0,0.11,0.71,0.36,,0.2,1.0,0.0,0.0,,3.0,11.5,0.0,,0.41,0.62,0
28,1.0,62.0,3.0,1.0,2.0,0.0,4.0,5.0,194.3,25.8,38.8,1.0,47.0,52.8,1.0,4.0,1.5,5.0,363.6,13.4,12.9,,2.2,0.0,1.0,0.34,1.0,0.53,0.0,0.8,0.6,0.0,1.0,47.0,1.0,52.8,0.0,,1.0,1.0,0
29,0.0,,,2.0,4.0,1.0,0.0,9.0,24.0,,2.6,0.0,9.0,0.9,0.0,3.0,1.6,12.0,114.7,13.4,,24.0,1.8,0.5,0.0,,0.75,0.2,0.44,0.44,0.22,0.08,0.0,55.0,4.0,8.2,0.0,0.0,0.16,0.1,0
30,0.0,35.0,4.0,1.0,2.0,0.0,1.0,7.0,35.3,8.1,5.0,0.0,1.0,0.4,0.0,15.0,2.0,87.0,4572.2,9.1,5.9,,2.3,0.39,0.06,0.0,0.08,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,0
31,1.0,61.0,3.0,1.0,1.0,0.0,0.0,6.0,,12.8,,0.0,6.0,,0.0,1.0,1.4,6.0,150.8,8.9,5.5,19.0,,0.66,0.0,0.31,1.0,0.31,0.0,0.83,0.66,0.0,0.0,7.0,2.0,11.1,1.0,,,,1
32,0.0,59.0,4.0,1.0,2.0,0.0,1.0,5.0,,,12.7,0.0,10.0,5.2,0.0,,1.7,6.0,191.7,,7.9,14.0,1.6,0.33,0.33,0.29,0.83,0.33,0.0,0.6,0.2,0.0,0.0,10.0,1.0,5.2,0.0,,1.0,1.0,0
33,0.0,57.0,5.0,1.0,,0.0,0.0,3.0,31.0,47.3,10.3,0.0,40.0,9.3,1.0,1.0,2.2,6.0,111.0,41.6,12.3,4.0,1.1,0.83,0.0,0.37,0.5,,0.33,0.33,0.0,,0.0,40.0,1.0,9.3,0.0,0.0,1.0,1.0,0
34,,57.0,5.0,1.0,2.0,0.0,0.0,5.0,70.5,64.0,14.1,0.0,64.0,13.4,1.0,1.0,1.7,,51.6,18.5,,4.0,1.2,,0.0,1.0,1.0,1.0,0.2,0.4,0.2,0.0,0.0,64.0,1.0,13.4,0.0,,,1.0,0
35,1.0,34.0,3.0,1.0,4.0,1.0,,11.0,91.8,11.6,8.3,0.0,2.0,0.3,1.0,0.0,,9.0,,5.6,3.1,52.0,3.3,0.22,0.0,,1.0,0.3,,0.63,0.27,1.0,0.0,2.0,1.0,0.3,1.0,,1.0,1.0,0
36,0.0,45.0,3.0,2.0,2.0,0.0,0.0,8.0,20.5,,2.5,0.0,,0.6,1.0,2.0,1.9,12.0,474.8,15.0,4.4,55.0,2.8,0.33,0.0,0.01,0.66,,,0.25,0.12,,0.0,32.0,3.0,7.9,0.0,0.0,,,0
37,0.0,41.0,4.0,0.0,4.0,,0.0,0.0,,0.0,0.0,,7.0,2.9,0.0,0.0,,5.0,95.7,,2.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,9.0,2.0,3.9,0.0,,0.77,0.74,0
38,0.0,35.0,,1.0,4.0,1.0,0.0,9.0,84.3,,9.3,0.0,33.0,59.7,0.0,13.0,,20.0,696.9,8.2,8.1,31.0,1.9,0.3,0.0,0.1,0.45,0.12,0.0,0.22,0.44,0.1,0.0,33.0,1.0,59.7,0.0,,1.0,,0
39,0.0,51.0,4.0,0.0,2.0,0.0,0.0,6.0,25.6,18.5,4.2,0.0,16.0,4.8,0.0,,2.4,49.0,,17.0,3.4,188.0,2.1,0.46,0.0,0.01,,0.01,0.0,0.16,0.5,0.14,0.0,35.0,2.0,10.8,0.0,0.0,0.45,0.44,0
40,0.0,46.0,2.0,0.0,3.0,0.0,0.0,3.0,32.2,10.6,10.7,1.0,19.0,22.4,0.0,2.0,1.9,14.0,380.5,8.1,5.0,38.0,2.0,0.42,0.0,0.05,0.21,,0.0,1.0,,0.07,1.0,46.0,,37.0,0.0,2.0,0.41,,0
41,1.0,48.0,2.0,0.0,3.0,1.0,0.0,7.0,91.8,23.7,13.1,0.0,50.0,,0.0,0.0,1.3,,315.5,10.7,5.5,43.0,1.1,0.83,,0.27,1.0,0.29,0.14,0.85,0.57,,0.0,50.0,1.0,28.6,0.0,,1.0,1.0,0
42,,55.0,,1.0,3.0,0.0,0.0,3.0,18.6,12.0,6.2,0.0,,0.5,0.0,4.0,1.4,14.0,749.5,12.1,5.9,86.0,1.5,0.5,0.0,0.02,0.21,,0.33,0.0,0.33,0.42,0.0,9.0,2.0,10.1,0.0,,0.22,0.04,0
43,1.0,48.0,2.0,1.0,4.0,1.0,0.0,10.0,85.5,8.8,8.5,0.0,21.0,7.9,1.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,1.0,1.0,0.0,0.2,0.0,,,,1.0,7.9,1.0,2.0,1.0,,0
44,0.0,,3.0,0.0,5.0,0.0,0.0,,143.3,12.2,,0.0,9.0,7.3,0.0,5.0,2.2,14.0,,17.7,11.6,25.0,1.7,0.5,0.0,0.12,0.71,0.21,0.0,0.4,0.7,0.5,0.0,9.0,,7.3,0.0,,1.0,1.0,0
45,1.0,77.0,2.0,0.0,2.0,0.0,0.0,9.0,93.8,15.3,10.4,0.0,13.0,12.7,1.0,2.0,1.8,6.0,156.9,9.9,7.8,11.0,1.6,0.5,0.0,0.69,1.0,0.59,0.0,0.44,0.11,,0.0,16.0,2.0,,,0.0,0.81,0.88,1
46,1.0,57.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.3,0.0,,1.5,3.0,48.6,8.7,4.4,7.0,1.3,0.66,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,11.0,1.0,2.3,0.0,,1.0,1.0,0
47,0.0,56.0,1.0,0.0,2.0,0.0,,8.0,105.2,9.6,13.1,1.0,23.0,27.7,1.0,0.0,0.8,1.0,46.3,6.6,9.2,6.0,3.0,,0.0,1.0,1.0,1.0,0.0,0.62,0.0,,,32.0,2.0,37.5,,2.0,0.71,0.73,0
48,0.0,50.0,3.0,1.0,3.0,1.0,0.0,4.0,29.2,9.2,7.3,0.0,,5.0,0.0,7.0,2.9,28.0,759.3,11.5,7.5,34.0,1.8,0.5,0.0,,0.14,0.03,,0.5,0.25,0.14,0.0,5.0,1.0,5.0,1.0,,1.0,1.0,0
49,1.0,42.0,3.0,1.0,1.0,,0.0,2.0,3.7,2.5,1.8,0.0,1.0,0.0,0.0,10.0,1.9,22.0,1073.5,10.7,5.6,98.0,2.5,0.31,0.0,0.0,,0.0,0.0,,0.0,0.13,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
50,0.0,59.0,4.0,1.0,2.0,0.0,1.0,9.0,94.6,17.1,10.5,0.0,7.0,7.2,0.0,0.0,,1.0,20.2,12.6,,,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.55,,,,7.0,1.0,7.2,0.0,,,1.0,1
51,0.0,28.0,3.0,1.0,2.0,0.0,2.0,,95.7,,4.1,0.0,19.0,3.4,1.0,2.0,1.1,4.0,29.6,5.2,1.6,16.0,1.5,0.5,1.0,1.0,1.0,1.0,0.34,0.3,0.13,0.25,0.0,19.0,1.0,3.4,1.0,,1.0,1.0,1
52,0.0,59.0,3.0,,3.0,,0.0,2.0,3.4,2.5,1.7,0.0,42.0,15.7,0.0,1.0,1.7,,85.6,9.5,3.5,14.0,3.3,0.0,0.0,0.02,0.66,0.03,0.0,0.5,0.5,,0.0,42.0,1.0,15.7,1.0,,1.0,1.0,1
53,1.0,38.0,5.0,2.0,2.0,0.0,3.0,9.0,176.1,,19.5,0.0,,6.0,1.0,34.0,2.6,113.0,4731.1,12.4,3.5,510.0,3.3,0.26,0.08,0.02,0.07,0.03,0.22,0.44,0.22,,0.0,,1.0,6.0,0.0,1.0,1.0,,1
54,1.0,61.0,4.0,,2.0,0.0,2.0,5.0,154.4,43.2,30.8,,38.0,26.0,1.0,0.0,6.3,133.0,4958.7,16.8,12.3,63.0,1.0,0.92,1.0,0.03,0.03,0.03,0.0,0.8,0.2,0.12,0.0,38.0,1.0,26.0,1.0,2.0,1.0,,1
55,0.0,28.0,3.0,1.0,2.0,0.0,0.0,12.0,34.6,10.4,2.8,0.0,12.0,2.8,0.0,,1.2,8.0,102.1,,2.4,33.0,2.2,0.37,0.0,,,0.33,,,0.08,,0.0,12.0,1.0,2.8,0.0,,1.0,,1
56,0.0,54.0,3.0,1.0,2.0,0.0,0.0,5.0,105.0,34.4,21.0,0.0,5.0,2.5,0.0,1.0,1.6,9.0,231.7,9.3,6.2,22.0,1.6,0.55,0.0,0.49,0.55,0.45,0.0,1.0,0.2,,,5.0,1.0,2.5,0.0,,1.0,1.0,1
57,1.0,61.0,4.0,1.0,2.0,0.0,2.0,5.0,154.4,43.2,30.8,0.0,34.0,23.7,1.0,0.0,6.3,133.0,4958.7,16.8,12.3,63.0,1.0,0.92,1.0,,0.03,0.03,0.0,0.8,0.2,,0.0,34.0,1.0,23.7,1.0,2.0,,1.0,1
58,0.0,59.0,4.0,1.0,2.0,0.0,1.0,9.0,94.6,17.1,10.5,0.0,10.0,10.7,0.0,0.0,1.0,1.0,20.2,12.6,6.7,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.55,0.11,,0.0,10.0,,10.7,0.0,2.0,1.0,1.0,1
59,1.0,64.0,2.0,2.0,2.0,0.0,0.0,2.0,17.6,12.0,8.8,0.0,,17.0,0.0,0.0,0.6,1.0,33.2,4.5,16.6,3.0,1.0,1.0,0.0,1.0,1.0,0.53,0.0,0.5,0.0,,,22.0,2.0,29.7,0.0,2.0,0.86,0.57,1
60,,61.0,4.0,1.0,2.0,0.0,2.0,5.0,154.4,43.2,30.8,0.0,33.0,23.7,1.0,0.0,6.3,133.0,4958.7,,12.3,63.0,,0.92,1.0,0.03,0.03,0.03,0.0,0.8,,,0.0,33.0,1.0,23.7,1.0,2.0,1.0,1.0,1
61,0.0,59.0,3.0,2.0,3.0,,1.0,4.0,36.0,20.5,9.0,,,12.4,1.0,0.0,1.0,1.0,21.8,9.4,3.1,7.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.75,0.25,,0.0,43.0,2.0,,1.0,,0.97,0.97,1
62,1.0,33.0,2.0,1.0,1.0,0.0,1.0,5.0,49.6,21.4,9.9,0.0,17.0,4.1,0.0,2.0,2.3,102.0,,13.5,5.1,334.0,1.4,0.73,,0.0,0.04,0.01,0.0,0.6,0.0,0.59,1.0,97.0,5.0,31.3,1.0,2.0,0.17,0.13,1
63,1.0,,3.0,2.0,2.0,0.0,0.0,7.0,119.4,17.1,17.0,0.0,4.0,5.4,1.0,0.0,2.1,16.0,,7.3,11.1,30.0,1.4,0.68,0.0,0.25,0.43,0.16,0.0,0.57,0.85,0.0,0.0,4.0,,,0.0,,1.0,1.0,1
64,0.0,43.0,4.0,1.0,2.0,0.0,1.0,3.0,47.8,11.6,15.9,,,9.1,0.0,1.0,1.5,7.0,159.5,7.9,5.6,,1.4,0.71,1.0,0.15,0.42,0.29,0.0,0.66,0.66,,0.0,18.0,2.0,14.1,0.0,,0.55,0.64,1
65,0.0,50.0,3.0,0.0,5.0,0.0,0.0,14.0,194.8,11.5,13.9,,,19.7,0.0,5.0,,16.0,710.8,16.0,10.9,,1.7,0.5,0.0,0.15,0.87,0.27,0.21,0.42,0.5,,0.0,21.0,1.0,19.7,0.0,0.0,,1.0,1
66,0.0,43.0,3.0,1.0,4.0,1.0,0.0,4.0,34.8,,8.7,0.0,8.0,9.6,0.0,0.0,3.2,7.0,321.0,17.0,7.1,14.0,2.4,0.14,0.0,0.05,0.57,0.1,0.0,,0.25,,0.0,8.0,1.0,9.6,1.0,,1.0,1.0,1
67,1.0,31.0,,2.0,1.0,0.0,0.0,3.0,6.6,7.6,2.2,0.0,,17.8,0.0,1.0,,,267.0,,2.0,73.0,2.8,0.3,0.0,,0.23,0.02,0.33,0.33,,0.69,1.0,92.0,2.0,26.8,1.0,2.0,0.6,0.66,1
68,1.0,75.0,3.0,1.0,2.0,0.0,0.0,4.0,61.1,7.0,15.2,0.0,,,0.0,8.0,2.0,,737.8,6.7,4.7,75.0,,0.5,0.0,0.02,0.22,,,0.75,0.25,0.11,,6.0,1.0,8.7,0.0,,1.0,1.0,1
69,0.0,59.0,2.0,0.0,3.0,0.0,0.0,6.0,75.6,23.1,12.6,0.0,3.0,1.9,1.0,0.0,1.1,5.0,219.0,7.0,4.6,42.0,,0.4,0.0,0.41,1.0,0.34,0.0,0.33,0.0,,0.0,3.0,1.0,1.9,1.0,,1.0,1.0,1
70,1.0,64.0,2.0,2.0,,0.0,2.0,10.0,124.0,12.6,12.4,0.0,11.0,7.1,1.0,2.0,1.1,3.0,149.2,5.0,5.5,24.0,1.6,0.33,1.0,0.93,1.0,0.83,0.0,0.4,0.3,0.33,0.0,24.0,2.0,13.5,0.0,0.0,0.45,0.52,0
71,,59.0,3.0,2.0,3.0,0.0,2.0,5.0,,30.2,11.6,0.0,18.0,6.6,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8,0.2,0.0,0.0,18.0,1.0,6.6,1.0,2.0,1.0,,0
72,0.0,28.0,3.0,1.0,,0.0,2.0,21.0,,13.8,3.7,0.0,8.0,0.8,,4.0,1.4,10.0,152.1,10.2,2.7,,2.3,0.3,0.5,0.51,1.0,0.51,0.33,0.28,0.14,,0.0,8.0,,0.8,0.0,,1.0,1.0,0
73,1.0,48.0,4.0,1.0,1.0,0.0,2.0,26.0,326.3,19.2,12.5,0.0,7.0,10.6,1.0,1.0,2.1,5.0,,15.6,15.1,6.0,1.2,0.8,1.0,1.0,1.0,1.0,0.07,0.3,0.23,,0.0,13.0,2.0,14.7,1.0,,0.53,0.72,0
74,1.0,38.0,,2.0,2.0,0.0,4.0,12.0,208.3,,17.3,0.0,4.0,0.1,,,2.4,81.0,3371.9,12.2,3.3,414.0,3.6,0.23,0.14,0.04,0.14,0.06,0.16,0.33,0.25,,1.0,205.0,5.0,83.6,0.0,0.0,0.01,0.0,0
75,0.0,59.0,4.0,1.0,2.0,0.0,1.0,9.0,94.6,17.1,10.5,0.0,2.0,1.3,0.0,0.0,1.0,1.0,,,6.7,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.55,0.11,0.0,0.0,2.0,1.0,1.3,,2.0,1.0,1.0,1
76,1.0,37.0,3.0,2.0,1.0,0.0,0.0,9.0,39.7,,4.4,0.0,5.0,1.8,,0.0,,4.0,62.2,,4.1,,1.2,,0.0,0.68,1.0,0.63,0.0,0.44,0.33,,0.0,5.0,1.0,,0.0,,1.0,1.0,0
77,,30.0,3.0,1.0,1.0,0.0,2.0,5.0,22.9,17.8,4.5,0.0,3.0,1.9,0.0,,2.3,21.0,310.5,12.9,2.3,57.0,,0.52,1.0,0.05,0.23,0.07,0.2,0.6,0.0,0.14,,3.0,1.0,,1.0,2.0,1.0,1.0,0
78,1.0,75.0,,1.0,2.0,,2.0,9.0,,9.4,16.2,0.0,6.0,5.5,0.0,6.0,1.8,12.0,,7.1,,59.0,1.6,0.58,0.33,0.1,0.75,,0.22,0.44,0.11,0.16,1.0,18.0,2.0,15.2,0.0,,0.33,0.36,0
79,1.0,44.0,3.0,1.0,1.0,0.0,2.0,14.0,45.9,11.7,3.2,0.0,14.0,14.4,1.0,0.0,2.6,7.0,307.3,,5.2,22.0,2.1,0.42,1.0,0.12,,0.14,0.0,0.07,0.07,1.0,0.0,14.0,1.0,14.4,1.0,2.0,1.0,1.0,0
80,1.0,43.0,4.0,2.0,6.0,,2.0,10.0,,19.7,11.5,0.0,12.0,3.7,1.0,4.0,1.4,6.0,219.9,9.5,4.2,36.0,4.1,,,0.39,1.0,,0.2,0.2,,,0.0,12.0,1.0,3.7,0.0,,1.0,1.0,0
81,0.0,28.0,3.0,1.0,2.0,0.0,3.0,25.0,123.1,,4.9,0.0,10.0,2.0,1.0,4.0,1.9,23.0,,9.8,3.0,,1.8,0.56,0.75,0.49,1.0,0.43,,0.28,,0.13,0.0,10.0,1.0,,1.0,0.0,1.0,1.0,0
82,0.0,59.0,3.0,,3.0,0.0,2.0,5.0,58.2,30.2,11.6,0.0,25.0,8.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8,0.2,,0.0,25.0,1.0,8.9,1.0,2.0,1.0,1.0,0
83,0.0,59.0,4.0,1.0,2.0,0.0,4.0,14.0,204.8,21.2,14.6,0.0,2.0,1.4,1.0,4.0,2.1,10.0,346.8,,8.4,19.0,1.5,0.5,1.0,0.53,1.0,0.59,0.07,0.57,0.07,0.0,0.0,2.0,1.0,,0.0,,1.0,1.0,0
84,1.0,75.0,3.0,1.0,2.0,0.0,2.0,12.0,163.9,8.4,13.6,0.0,3.0,2.1,1.0,7.0,2.0,15.0,650.4,7.0,4.9,66.0,,0.46,0.28,0.1,0.8,0.25,0.16,0.41,0.08,,,18.0,2.0,12.9,0.0,,0.16,0.16,0
85,1.0,64.0,2.0,1.0,1.0,0.0,2.0,4.0,58.1,,14.5,0.0,6.0,2.1,0.0,4.0,1.4,8.0,579.9,8.0,7.8,52.0,,0.5,0.5,0.07,0.5,0.1,0.0,0.5,,,0.0,6.0,,2.1,0.0,0.0,1.0,1.0,0
86,0.0,28.0,3.0,1.0,,0.0,3.0,25.0,123.1,17.9,4.9,,,1.0,1.0,4.0,1.9,23.0,,9.8,3.0,48.0,1.8,0.56,0.75,,1.0,0.43,,0.28,0.16,,0.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0
87,1.0,38.0,5.0,2.0,2.0,0.0,,3.0,5.8,5.3,,0.0,,12.4,,24.0,2.3,68.0,2756.6,12.4,3.2,354.0,3.5,0.22,,0.0,0.04,0.0,0.0,0.33,0.0,0.32,0.0,41.0,3.0,24.4,0.0,2.0,0.41,0.5,1
88,1.0,35.0,4.0,1.0,3.0,1.0,3.0,6.0,333.3,46.6,55.5,0.0,4.0,3.2,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.66,0.33,0.0,0.0,4.0,1.0,3.2,0.0,0.0,1.0,1.0,0
89,1.0,75.0,3.0,1.0,2.0,0.0,2.0,11.0,159.0,8.8,14.4,0.0,1.0,1.5,,7.0,2.0,14.0,573.9,6.8,4.5,63.0,1.7,0.5,0.28,,0.78,0.27,0.18,0.45,0.09,0.14,0.0,1.0,1.0,1.5,0.0,,1.0,1.0,0
90,1.0,28.0,2.0,1.0,1.0,0.0,0.0,,23.1,,4.6,0.0,3.0,1.6,0.0,4.0,1.9,30.0,764.6,11.5,3.9,100.0,1.5,0.66,0.0,0.01,0.16,0.03,0.0,0.8,0.4,,0.0,3.0,1.0,,0.0,0.0,1.0,1.0,0
